# T48 SPI catalog generated from T48SDK/T48_List.txt
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
BY25D20FSU	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVM	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVO	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVS	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVT	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVU	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40AS	BOYA_MICRO		5242880	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40ESM	BOYA_MICRO		5242880	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40ESO	BOYA_MICRO		5242880	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40ESS	BOYA_MICRO		5242880	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40EST	BOYA_MICRO		5242880	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40ESU	BOYA_MICRO		5242880	256	3.3	SPI	25xx	SPI_NOR	true
BY25D80AS	BOYA_MICRO		10485760	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELE	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELF	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELQ	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELS	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELT	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELW	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESE	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESF	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESQ	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESS	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128EST	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESW	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB256ELE	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB256ELF	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB256ELS	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB256ELW	BOYA_MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ELH	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ELQ	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ELS	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ELT	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
